t,id,x,y,rho
0.02,125,0.24,0.48,1000
0.02,126,0.28,0.48,1000
0.02,127,0.32,0.48,1000
0.02,128,0.36,0.48,1000
0.02,129,0,0.52,1000
0.02,130,0.04,0.52,1000
0.02,131,0.08,0.52,1000
0.02,132,0.12,0.52,1000
0.02,133,0.16,0.52,1000
0.02,134,0.2,0.52,1000
0.02,135,0.24,0.52,1000
0.02,136,0.28,0.52,1000
0.02,137,0.32,0.52,1000
0.02,138,0.36,0.52,1000
0.02,139,0,0.56,1000
0.02,140,0.04,0.56,1000
0.02,141,0.08,0.56,1000
0.02,142,0.12,0.56,1000
0.02,143,0.16,0.56,1000
0.02,144,0.2,0.56,1000
0.02,145,0.24,0.56,1000
0.02,146,0.28,0.56,1000
0.02,147,0.32,0.56,1000
0.02,148,0.36,0.56,1000
0.02,149,0,0.6,1000
0.02,150,0.04,0.6,1000
0.02,151,0.08,0.6,1000
0.02,152,0.12,0.6,1000
0.02,153,0.16,0.6,1000
0.02,154,0.2,0.6,1000
0.02,155,0.24,0.6,1000
0.02,156,0.28,0.6,1000
0.02,157,0.32,0.6,1000
0.02,158,0.36,0.6,1000
0.02,159,0,0.64,1000
0.02,160,0.04,0.64,1000
0.02,161,0.08,0.64,1000
0.02,162,0.12,0.64,1000
0.02,163,0.16,0.64,1000
0.02,164,0.2,0.64,1000
0.02,165,0.24,0.64,1000
0.02,166,0.28,0.64,1000
0.02,167,0.32,0.64,1000
0.02,168,0.36,0.64,1000
0.02,169,0,0.68,1000
0.02,170,0.04,0.68,1000
0.02,171,0.08,0.68,1000
0.02,172,0.12,0.68,1000
0.02,173,0.16,0.68,1000
0.02,174,0.2,0.68,1000
0.02,175,0.24,0.68,1000
0.02,176,0.28,0.68,1000
0.02,177,0.32,0.68,1000
0.02,178,0.36,0.68,1000
0.02,179,0,0.72,1000
0.02,180,0.04,0.72,1000
0.02,181,0.08,0.72,1000
0.02,182,0.12,0.72,1000
0.02,183,0.16,0.72,1000
0.02,184,0.2,0.72,1000
0.02,185,0.24,0.72,1000
0.02,186,0.28,0.72,1000
0.02,187,0.32,0.72,1000
0.02,188,0.36,0.72,1000
0.02,189,0,0.76,1000
0.02,190,0.04,0.76,1000
0.02,191,0.08,0.76,1000
0.02,192,0.12,0.76,1000
0.02,193,0.16,0.76,1000
0.02,194,0.2,0.76,1000
0.02,195,0.24,0.76,1000
0.02,196,0.28,0.76,1000
0.02,197,0.32,0.76,1000
0.02,198,0.36,0.76,1000
0.04,0,0.04,-1.81289e-07,1000
0.04,1,0.08,-1.81289e-07,1000
0.04,2,0.12,-1.81289e-07,1000
0.04,3,0.16,-1.81289e-07,1000
0.04,4,0.2,-1.81289e-07,1000
0.04,5,0.24,-1.81289e-07,1000
0.04,6,0.28,-1.81289e-07,1000
0.04,7,0.32,-1.81289e-07,1000
