velocity_mps,angle_deg,range_m,max_height_m,time_of_flight_s,impact_velocity_mps,impact_angle_deg,v0x_mps,v0y_mps
3,43,2.491094667680755,4.213358606939421,1.1353807157720586,9.353074360871938,76.4330268541417,2.1940611048575116,2.0459950801874953
3,44,2.460425177689627,4.2213533264443805,1.1401311668149539,9.353074360871938,76.66004354852066,2.1580194010159537,2.0839751113769918
3,45,2.428523903998522,4.229357798165138,1.1448171471939885,9.353074360871936,76.89098179917738,2.121320343559643,2.121320343559643
3,46,2.3953969061153924,4.237362269885894,1.1494364270658817,9.353074360871938,77.12576398028867,2.0839751113769918,2.1580194010159537
3,47,2.3610513168164142,4.245356989390854,1.1539868006916454,9.353074360871938,77.36431172755387,2.0459950801874953,2.1940611048575116
3,48,2.325495347828601,4.253332216345792,1.1584660880496953,9.35307436087194,77.60654597828513,2.0073918190765747,2.229434476432183
3,49,2.2887382939834917,4.261278234165152,1.1628721364220456,9.353074360871936,77.85238701033988,1.9681770869715218,2.264128740668316
3,50,2.250790535826404,4.269185361850214,1.1672028219523503,9.353074360871936,78.1017544798643,1.9283628290596182,2.298133329356934
3,51,2.211663540668749,4.277043965783889,1.1714560511746295,9.353074360871938,78.35456745782166,1.8879611731495125,2.3314378843709127
3,52,2.1713698620739676,4.284844471467814,1.1756297625116177,9.353074360871938,78.61074446528401,1.846984425976975,2.3640322608201663
3,53,2.129923137770635,4.292577375187386,1.1797219277417466,9.353074360871938,78.8702035074701,1.805445069456145,2.3959065301418785
3,54,2.0873380859892943,4.300233255590584,1.183730553433862,9.353074360871934,79.13286210651684,1.7633557568774194,2.4270509831248424
3,55,2.043630500222553,4.307802785166437,1.1876536823488506,9.353074360871936,79.39863733297588,1.7207293090531381,2.4574561328669753
3,56,1.9988172424109034,4.3152767416091535,1.1914893948074265,9.353074360871938,79.66744583603092,1.6775787104122404,2.4871127176651253
3,57,1.952916234559656,4.3226460190540825,1.1952358100234057,9.353074360871938,79.93920387243503,1.6339171050450814,2.516011703836272
3,58,1.905946448795221,4.329901639171807,1.1988910874018595,9.353074360871938,80.21382733417136,1.5897577926996147,2.544144288469278
3,59,1.857927895871801,4.337034762106856,1.2024534278016037,9.353074360871938,80.49123177484351,1.5451142247301624,2.571501902106337
3,60,1.8088816121423226,4.344036697247706,1.205921074761548,9.353074360871938,80.77133243480614,1.5000000000000004,2.598076211353316
3,61,1.758829645010151,4.350898913814955,1.2092923156904838,9.353074360871938,81.0540442650482,1.4544288607390112,2.623859121418187
3,62,1.7077950368808015,4.357613051254758,1.2125654830199413,9.353074360871936,81.33928194984577,1.4084146883576727,2.6488427785767805
